DATE,COMP,HE01,HE02,HE03,HE04,HE05,HE06,HE07,HE08,HE09,HE10,HE11,HE12,HE13,HE14,HE15,HE16,HE17,HE18,HE19,HE20,HE21,HE22,HE23,HE24
2017,AE,964.288,905.834,849.012,779.97,840.673,895.957,1001.79,1040.879,1046.893,1055.585,1053.182,1046.757,1038.922,1034.128,1024.78,1025.24,1032.46,1059.924,1128.621,1161.578,1125.789,1065.705,983.449,908.712
2017,AE,840.424,797.351,775.752,769.958,779.995,829.881,936.379,994.28,1008.811,1021.836,1022.443,1019.573,1015.904,1003.368,999.626,1015.674,1032.931,1061.742,1118.702,1137.941,1113.128,1070.793,1003.744,932.919
2017,AE,869.565,828.473,802.351,789.207,787.068,803.147,846.699,892.174,936.541,966.934,984.793,991.15,993.875,1002.603,1018.286,1033.099,1057.494,1088.522,1141.549,1163.772,1135.678,1092.962,1036.468,969.09
2017,AE,907.462,861.941,828.697,813.737,809.052,825.85,854.924,879.323,926.383,973.424,1005.272,1017.753,1029.055,1027.523,1031.171,1049.526,1093.354,1130.978,1186.159,1218.006,1181.813,1126.259,1048.223,966.54
2017,AE,904.474,864.031,842.355,829.061,822.255,865.889,964.718,1017.986,1029.729,1034.822,1032.558,1013.174,998.648,971.644,935.272,943.554,969.433,1009.128,1095.894,1134.467,1094.519,1033.552,948.277,867.156
2017,AE,802.599,769.638,756.318,754.715,775.138,832.592,946.424,996.489,987.643,989.232,1027.183,1041.62,1044.432,1021.616,1063.815,1080.465,1119.308,1160.49,1244.516,1249.776,1211.98,1150.459,1066.268,987.293
2017,AE,917.64,880.841,854.007,853.094,863.077,897.647,997.113,1073.265,1089.321,1108.337,1126.004,1134.208,1113.136,1089.686,1099.434,1108.984,1141.339,1180.52,1245.265,1254.48,1203.286,1137.652,1038.771,946.11
2017,AE,863.929,836.299,821.822,810.593,822.886,877.686,995.299,1046.607,1007.113,956.769,907.047,911.807,916.066,934.504,952.318,970.854,1001.736,1055.655,1148.978,1147.084,1116.107,1054.478,964.487,886.891
2017,AE,776.365,751.87,733.777,741.225,756.925,830.174,915.411,930.534,931.914,956.279,980.384,998.706,1008.993,1024.973,1043.491,1058.64,1137.468,1184.711,1184.35,1159.021,1116.33,1056.44,981.948,894.495
2017,AE,852.609,822.662,808.478,812.173,817.342,872.266,974.589,1009.241,1006.208,984.706,952.621,956.568,972.769,963.63,990.818,1030.632,1104.346,1208.183,1219.635,1197.605,1159.174,1106.685,1030.174,954.486
2017,AE,888.167,857.137,840.002,833.743,850.349,898.908,977.171,997.426,960.091,902.508,887.046,875.67,887.026,940.072,970.36,1009.35,1077.358,1166.629,1167.151,1144.262,1116.221,1058.888,989.858,919.605
2017,AE,868.261,836.534,816.151,814.298,828.755,875.499,950.333,962.983,949.746,923.298,884.091,888.486,886.515,890.105,936.155,1008.861,1118.31,1232.933,1242.567,1229.375,1209.678,1176.236,1121.215,1079.476
2017,AE,1033.069,1004.826,991.944,985.93,994.048,1015.627,1058.853,1057.908,1027.043,979.543,939.023,904.965,879.097,886.038,936.528,1009.366,1104.084,1207.518,1214.583,1198.335,1177.591,1144.362,1098.484,1037.09
2017,AE,992.349,961.208,946.972,936.829,940.124,955.079,979.139,986.636,997.044,981.376,931.059,935.136,916.905,886.987,925.495,975.458,1069.843,1179.607,1188.54,1172.487,1136.644,1082.587,1014.552,946.576
2017,AE,901.214,871.544,854.04,853.709,874.715,933.796,1042.484,1097.523,1112.514,1127.114,1132.621,1117.945,1097.788,1095.036,1097.707,1119.434,1170.199,1243.479,1236.58,1211.495,1175.059,1110.186,1026.03,956.249
2017,AE,902.992,883.238,868.825,871.775,897.973,964.09,1072.417,1092.489,1025.158,970.095,940.457,907.318,878.036,907.53,945.221,1009.189,1106.027,1221.584,1232.364,1215.948,1181.864,1118.648,1035.208,950.697
2017,AE,896.469,868.675,859.11,855.578,876.21,940.09,1038.005,1071.978,1012.029,929.153,876.011,885.332,864.915,921.673,986.123,1023.769,1095.444,1195.014,1202.456,1183.587,1148.062,1087.71,997.903,917.132
2017,AE,877.538,858.393,840.289,837.167,856.744,915.246,1022.394,1046.191,987.98,918.585,873.152,843.257,843.56,851.536,893.005,967.289,1074.04,1183.949,1188.376,1173.715,1150.253,1112.669,1061.023,994.019
2017,AE,943.415,911.349,896.905,892.9,901.423,929.39,964.175,985.003,994.375,968.873,970.36,960.813,956.98,925.969,976.455,1009.045,1071.692,1133.13,1123.542,1100.526,1065.538,1020.211,960.299,896.296
2017,AE,882.246,851.216,840.112,841.338,864.826,936.501,1046.346,1070.646,1024.988,954.164,917.648,886.055,879.636,891.569,931.293,1008.368,1114.073,1236.18,1249.701,1237.305,1205.672,1149.627,1060.706,979.024
2017,AE,924.037,892.741,874.34,873.241,887.294,942.774,1051.147,1060.915,1002.632,920.227,862.82,855.813,892.524,899.401,923.404,991.546,1077.866,1180.925,1190.142,1169.911,1133.47,1071.54,985.17,904.112
2017,AE,844.712,807.977,789.057,783.722,795.382,853.279,956.918,1015.604,1026.531,1018.084,998.422,946.635,891.244,912.329,942.428,1000.564,1085.93,1179.876,1192.434,1179.186,1156.446,1109.598,1051.317,982.688
2017,AE,933.75,897.699,883.835,874.534,886.355,912.949,958.766,972.084,974.558,986.462,990.677,966.511,922.867,902.781,917.662,957.916,1010.882,1071.002,1072.697,1074.255,1081.856,1076.663,1038.375,993.023
2017,AE,956.4,930.63,917.74,916.493,929.223,966.451,1010.755,1020.137,984.665,921.984,872.362,838.824,824.184,834.124,871.836,939.514,1040.622,1158.919,1162.846,1150.076,1140.995,1086.159,1037.878,974.598
2017,AE,906.933,877.696,873.5,873.064,884.001,948.984,1073.865,1089.442,1035.66,964.656,913.636,883.687,870.19,882.756,933.362,1004.923,1113.225,1247.471,1261.444,1249.634,1220.173,1155.763,1062.587,976.345
2017,AE,939.298,903.092,884.947,886.15,916.465,978.656,1085.216,1108.026,1045.11,962.567,904.573,875.428,863.21,877.664,918.943,987.018,1090.15,1219.512,1231.983,1216.492,1175.597,1112.248,1023.212,935.719
2017,AE,886.936,844.415,831.433,825.224,843.665,899.204,1010.434,1036.945,988.321,928.182,887.611,859.074,844.145,859.916,903.468,963.896,1069.858,1199.836,1217.878,1202.151,1168.145,1109.996,1027.087,942.46
2017,AE,894.805,867.379,854.355,863.679,888.843,952.488,1065.818,1109.09,1102.267,1073.312,1023.918,936.277,880.588,919.687,939.724,1011.414,1109.477,1232.897,1243.542,1225.357,1192.09,1126.834,1034.237,941.161
2017,AE,921.745,880.291,883.067,881.348,884.971,951.231,1064.705,1072.851,1050.917,1010.016,973.297,971.712,971.409,1020.819,1069.57,1108.677,1149.338,1261.078,1270.282,1257.806,1241.391,1203.799,1123.367,1039.255
2017,AE,957.227,923.761,911.453,904.289,912.568,941.308,995.305,1018.745,994.849,937.521,890.932,878.855,880.266,930.811,955.378,996.782,1080.602,1181.804,1187.538,1174.529,1159.416,1130.304,1068.74,1002.999
2017,AE,941.836,904.179,884.229,876.905,879.537,892.723,928.397,960.827,1009.022,1024.811,1002.524,993.022,975.806,945.052,960.393,998.357,1086.268,1218.789,1229.433,1227.116,1201.442,1150.232,1079.153,998.815
2017,AE,937.116,904.583,893.014,896.63,924.587,991.655,1100.445,1143.461,1090.682,1021.075,942.649,919.613,954.068,943.866,988.868,1045.197,1171.772,1285.062,1282.946,1266.317,1239.115,1185.687,1072.116,926.609
2017,AE,913.759,873.074,848.382,846.557,854.829,910.448,1024.031,1067.638,1042.062,1021.298,1005.996,989.118,974.461,976.804,1005.713,1036.089,1149.225,1247.155,1247.283,1228.254,1186.593,1115.638,1014.295,918.655
2017,AE,847.308,807.498,788.473,784.207,800.218,857.957,986.074,1056.198,1065.523,1063.982,1037.255,979.261,928.186,959.501,1039.773,1099.386,1212.432,1316.777,1327.263,1312.934,1287.032,1215.571,1116.682,1016.365
2017,AE,946.772,908.123,892.119,889.574,909.087,973.85,1099.82,1135.124,1086.201,1003.3,945.128,933.181,922.028,951.01,963.567,1044.814,1169.937,1314.5,1333.651,1319.707,1293.746,1230.85,1133.985,1033.747
2017,AE,1031.124,986.262,970.62,967.617,972.978,998.417,1036.768,1056.053,1049.031,1020.795,952.754,937.105,983.837,1022.461,1038.735,1085.736,1178.485,1290.89,1296.37,1283.88,1256.447,1201.621,1108.555,1021.021
2017,AE,951.123,913.398,895.719,892.715,910.566,973.918,1087.386,1135.002,1098.119,1024.532,955.434,914.326,891.409,922.898,999.331,1034.231,1139.268,1284.772,1304.955,1292.02,1264.266,1200.784,1103.718,1003.537
2017,AE,925.387,885.494,867.912,865.096,882.716,942.169,1056.245,1101.896,1072.425,1025.288,938.518,873.544,865.344,876.251,916.477,989.641,1108.818,1248.149,1262.301,1251.722,1226.344,1173.524,1075.784,977.485
2017,AE,907.446,868.272,848.911,843.363,863.922,925.597,1041.942,1095.717,1086.849,1077.902,1068.83,1053.043,1007.496,989.497,980.932,1036.456,1161.803,1305.134,1329.599,1325.829,1306.739,1257.095,1176.36,1076.735
2017,AE,938.282,885.41,859.641,843.413,843.194,863.524,904.442,950.231,998.297,1040.498,1058.163,1045.243,1036.06,1024.489,1027.624,1043.076,1114.903,1198.202,1190.36,1164.731,1141.317,1103.302,1047.027,974.068
2017,AE,910.914,872.91,853.109,848.892,857.716,881.49,926.763,957.996,967.679,936.085,921.444,921.78,1005.296,1037.419,1064.627,1082.353,1157.645,1223.503,1201.876,1167.595,1148.064,1123.913,1075.587,1010.883
2017,AE,944.523,895.087,870.454,856.024,863.377,887.448,932.121,963.191,981.04,967.896,960.386,960.583,937.105,948.2,1011.072,1069.399,1142.385,1247.489,1248.771,1250.866,1247.587,1226.276,1178.969,1111.01
